Id;Tweet
1;Wishing I were there.  Where?  Anywhere! Margheritaville comes to mind!!!  
2;OMG...... Im the only 1 workin in clinic tonight and my last client canceled 
3;I LOVEEE.. YOU, M/\MMY! :Xxx.. 
4;tanoshii tanoshiiiiiiiiiiiiiiii.. thak God, dat's en/\f to be hapiii.. for da rest of mah life.. :Xxx.. 
5;wat a mild SURPRISEEEEEEEEEE!!!!!!!! mah dear bro c/\min' bak, missed u so m/\chhh 
6;Oh lord yes! mom brought... Cookies!!! Chocolate chip!! Happy day! 
7;Watching Lipstick Jungle Season 2 
8;@Heather_Poole I agree! 
9;my sister comes home today 
10;Is sleep vital? Necessary? Because I don't seem to get enough lately...but not sure I want to 
11;just sending a twitter from the club! i twittered u 
12;@StarChild54 aw, i hope you pounced! lol 
13;"that redbox vending machine is addicting as hell. just picked up defiance and he's just not that into you. also got popcorn&amp;apples @ SR. "
14;officially set TWC text alerts back to hoboken. 
15;bringing you james blunt  http://bit.ly/jDSu0
16;check out rambo's WIFI  http://bit.ly/3jk3JJ
17;@CharmedMemory such a sweet pendant  - your jewellery is hip
18;hi tweets - i must go somewhere today, but I will be back later on, tweet then, look forward to catching up again  cheers
19;@bendbeanies thank you too 
20;good morning twitterville - same old same old here - nothing new to tweet about - so I will just twitter off then 
21;@glorialynnglass hi there, great having you here, I am actualy one of your new followers 
22;hi guys, my shop is updated with new works   http://bit.ly/3WgNV
23;@FADjewellery sorry, I was on the phone - no problems, we will chat later 
24;@FADjewellery and this will eventually fix the problem? - (I am chatting to you on facebook at the same time 
25;@CharmedMemory better yet, please do convo me with the instructions for a light box - who knows, I probably made it all wrong, thank you 
26;@ZudaGay hey there, thanks so much 
27;the sale has lifted my spirits for now (sometimes slow sales get me really down) - and then one gets sold and its all good again 
28;@AmoreVivo hey thanks so much 
29;@mrgarbutt cool, I will check that out 
30;@brighit ewwww, I went last week, but it wasnt as bad as I though, hang in there, it has to be done unfortunatelly 
31;@ArtByZoe I am trying 
32;@FADjewellery hi brenda I am still here, still battling in the other sites -  not very bloody user friendly at all
33;@DalkullanJewel that is a pretty treasury! wish I made it on a treasury sometime  
34;@HelmStudios hey Jade, no sun here, and no rain either - crappy in between    - how are you liking that sicko book, it gets so grousome
35;@FADjewellery hey Breanda, you need to come back to Twitter, missing your Tweets - we will prop each other up, I know how you feel 
36;hi tweets - have a look at my new 'rearranged' shop http://bit.ly/3WgNV  - going to contune housework 
