Id;Target;Tweet
1;0;Wishing I were there.  Where?  Anywhere! Margheritaville comes to mind!!!  
2;0;OMG...... Im the only 1 workin in clinic tonight and my last client canceled 
3;4;I LOVEEE.. YOU, M/\MMY! :Xxx.. 
4;4;tanoshii tanoshiiiiiiiiiiiiiiii.. thak God, dat's en/\f to be hapiii.. for da rest of mah life.. :Xxx.. 
5;4;wat a mild SURPRISEEEEEEEEEE!!!!!!!! mah dear bro c/\min' bak, missed u so m/\chhh 
6;4;Oh lord yes! mom brought... Cookies!!! Chocolate chip!! Happy day! 
7;4;Watching Lipstick Jungle Season 2 
8;4;@Heather_Poole I agree! 
9;0;my sister comes home today 
10;0;Is sleep vital? Necessary? Because I don't seem to get enough lately...but not sure I want to 
11;4;just sending a twitter from the club! i twittered u 
12;4;@StarChild54 aw, i hope you pounced! lol 
13;4;"that redbox vending machine is addicting as hell. just picked up defiance and he's just not that into you. also got popcorn&amp;apples @ SR. "
14;0;officially set TWC text alerts back to hoboken. 
15;4;bringing you james blunt  http://bit.ly/jDSu0
16;4;check out rambo's WIFI  http://bit.ly/3jk3JJ
17;4;@CharmedMemory such a sweet pendant  - your jewellery is hip
18;4;hi tweets - i must go somewhere today, but I will be back later on, tweet then, look forward to catching up again  cheers
19;4;@bendbeanies thank you too 
20;4;good morning twitterville - same old same old here - nothing new to tweet about - so I will just twitter off then 
21;4;@glorialynnglass hi there, great having you here, I am actualy one of your new followers 
22;4;hi guys, my shop is updated with new works   http://bit.ly/3WgNV
23;4;@FADjewellery sorry, I was on the phone - no problems, we will chat later 
24;4;@FADjewellery and this will eventually fix the problem? - (I am chatting to you on facebook at the same time 
25;4;@CharmedMemory better yet, please do convo me with the instructions for a light box - who knows, I probably made it all wrong, thank you 
26;4;@ZudaGay hey there, thanks so much 
27;4;the sale has lifted my spirits for now (sometimes slow sales get me really down) - and then one gets sold and its all good again 
28;4;@AmoreVivo hey thanks so much 
29;4;@mrgarbutt cool, I will check that out 
30;0;@brighit ewwww, I went last week, but it wasnt as bad as I though, hang in there, it has to be done unfortunatelly 
