Id;Valoración;Mensaje
1;2;"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D"
2;1;is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!
3;3;@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds
4;1;my whole body feels itchy and like its on fire 
5;1;@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. 
6;2;@Kwesidei not the whole crew 
7;2;Need a hug 
8;3;@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?
9;2;@Tatiana_K nope they didn't have it 
10;0;@twittera que me muera ? 
11;2;spring break in plain city... it's snowing 
12;2;I just re-pierced my ears 
13;2;@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .
14;2;@octolinz16 It it counts, idk why I did either. you never talk to me anymore 
15;2;@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.
16;2;@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!
17;2;Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?
18;1;about to file taxes 
19;3;@LettyA ahh ive always wanted to see rent  love the soundtrack!!
20;2;@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? 
21;2;@alydesigns i was out most of the day so didn't get much done 
22;1;one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* 
23;2;@angry_barista I baked you a cake but I ated it 
24;1;this week is not going as i had hoped 
25;2;blagh class at 8 tomorrow 
26;0;I hate when I have to call and wake people up 
27;2;Just going to cry myself to sleep after watching Marley and Me.  
28;1;im sad now  Miss.Lilly
29;2;ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again 
30;2;Meh... Almost Lover is the exception... this track gets me depressed every time. 
31;2;some1 hacked my account on aim  now i have to make a new one
32;2;@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though
33;2;thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! 
34;3;@julieebaby awe i love you too!!!! 1 am here  i miss you
35;2;@HumpNinja I cry my asian eyes to sleep at night 
36;1;ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now 
37;2;@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...
38;1;@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge
39;1;@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. 
40;1;Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend 
41;2;really don't feel like getting up today... but got to study to for tomorrows practical exam... 
42;2;He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart 
43;1;Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!
44;2;@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it 
45;1;Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.
46;2;@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... 
