Id;Tweets
1;Recently published book on HR-IT keeps bringing subscribers to our free strategic HCM newsletter   http://bit.ly/lVOP7
2;@NintendoRed sometimes, you just have to let go! 
3;@ChrisCavs : I love you, man... you making me feel better all the time 
4;@misswiz ah. Perhaps point her in the direction of a nicer one. 
5;@Hals7747 you are probably asleep right now but it's 9:25 AM and Adam Lambert is on Live with Regis and Kelly...  
6;@SingleInThe604 Nice to meet you u too! Im glad u enjoyed the article 
7;just got back from shopping!!!! got loads of DVDs and make up and a Hannah Montana CD 
8;Online for a few mins.. Missing you!  blah its only 9:27 am and im beat!!  hahaha REHERSALS ALL DAY :[
9;gonna stay up and watch Man Utd tonight 
10;Happy Hump Day!  Too bad it isn't Friday!    So ready for the weekend with my LOVEEEE!
11;my chest hurt...i go to the gym, i am training a friend....i still worried 
12;@RainbowSoulPoet Thank you 
13;Wants an Phone 
14;between 4.9 and 6.9 , I'm really happy right now 
15;@physcogramma Wow!! U haven't been on here in forever! How ya been?? 
16;@ether_radio Awh no, I'm sorry to hear that 
17;@archreena Nako, matulog ka na. I'll do the printing for you. 
18;Dude, I love My Chemical Romance. 
19;I wish i could sing. I sound like a cat falling off a cliff when i attempt. 
20;@shinyshiny Very Gossip Girl. xoxo back atcha  See you then
21;@TheRealMrRiley i'm right there with ya babe lol my cuz been keeping me hear... 
22;@SherKro As I see it, yes 
23;I don't feel good 
24;So tired... ha! Going to workout, then work!  #fb
25;http://twitpic.com/61ypc - Eastern Conference Finals Game 4 - I was there for Magic domination 
26;@bpmore the /usr/bin/grrl was never updated that often...just kind of random.  she's prolly using stumblr now 
27;I have not been tweeting try to tweet more been playing gmod and I love the song call on me  btw saveing up to get a laptop 
28;@emmacandlish haha you got me  xx
29;@madamecupcake CONGRATS!!!!!!  that is awesome
30;no classes = tacos + dr pepper + going to bed again 
31;Im not going to complain today because some may have experienced a confrontation 
32;#3wordsaftersex You're an idiot! That's my favorite 
33;All of them! Apple strawberry watermelon grape and cherry 
34;@disil429 I'm at this training that I'm lost in 
35;weee.. i love RAIN!! 
36;@jordanknight tell me about it!!!  Tink!!! I want more sleep, well good morning, my love!!!  
37;On my way to get my poor car checked out again 
38;"@nsane8 its a good warning.  trust me. ;) (via @aka55) =&gt; i trust u!! "
39;I get to see my baby tonight 
40;gah! school /: then chilling wiff Adam (: and possibly Morgan 
41;you say goodbye, AND I SAY HELLO!! 
42;Goodnight Y'all twitters.. tnx for suppoting me.. lol..ahahha..enrollment tomorrow.. 
43;@LiverpoolDan hey sorry I didn't reply I was tweeting after the service when I was with friends not during it 
44;#unfollowdiddy and follow me instead 
45;A big WELCOME to my new Tweeties... I am excited to share and learn from/with you! 
46;Too busy to keep up with twitter recently, twibble is acting up still as well, hope all is well with everyone! Having good days to! 
47;My sister, Carolyne, is leaving for Norway for a week 
48;Wants am iPhone 
49;@30daysblog how long have you had it?  right now I'm leaning that way....thanks for replying.  
50;"@DaleChumbley &amp; @PhxREguy share and share alike - "
51;@wickedlibrarian Ah - a schoolboy error. Nowhere near the crime of double denim though 
52;@SophRigh hmmm....lets say wednesday  Reminds me of wednesday walk to Pear Tree 
53;@Spiritfm905 hoping Olivia plays my songs! 
54;@schwabdude12 Awesome! I'm glad the outcome fit you well. I'm in the middle too 
55;@TEarlGrey Oh, and mazel tov 
56;@BozAdventures Great! 
57;@fald happy birthday  ? http://blip.fm/~74l4e
58;@LanceChick Hi Katrina! Hope your morning has been good so far.  things are about to get spicy in this stage real soon!
59;@KrikenKing @konkonkon Do not be alarmed, am not a randomer. I'm Pokemario from ONM, just though I'd let you know 
60;@mumu_am good morning, aree!!!  i hope your therapy goes well today!
61;@Stealx thanks mate, i'd love it. I grit my teeth that i need to get a Vista cert  period 
62;@ghoseb haha.. tell them they are the monks of the IT world.. 
63;playing with the free app iDaft, great little thing 
64;"@ericlalor No that's a chap, @liam11, who's doing that tonight. Mine's only 42&quot;! "
65;@ArcherIsMyName ...he's at work... 
66;So many chores to do now the the hub is back at work, but no energy to do them  my least fav of them all... Folding laundry, ugh!!!!!
67;"@its_sb Mine Are Never Guhd As This One,.. Lol,. U Should Check Tha Picture Of Me &amp;&amp; Mah Sister (HalfSister),, Thas How Gud It Wuz,.! "
68;I really hate waking up at 5 when it's a late start day 
69;"has finished &quot;Sourcery&quot;. "
70;@akuvaramaki I hear you. Good tools are critical to have 
71;@jthrasher FAIL on your part.  lol
72;@itschristablack luck in the next concerts here in Argentina u was AWESOME 
73;@haydenpersonal  Lov your background !! 
74;@OuchBlog ?? ? ???? ????????? ??? ????? ???????-??  ??????? ???
75;@jlhornback2 Ha - No the Frenchman thinks anyone who has one is Gay...but of course loves to look at my pages on FB 
76;I have a pretty large vocabulary thank you very much, i just don't feel the need to use it at the moment 
77;O nice I'm so bored  I feel like making  a youtube video lmao and eating a krispy kream donut
78;birthday tomorrow cant`t wait 
79;Who just raped their Science exam? Yeah, ME.  hollllaaaaaa. As awkward as that sounds....
