Column1;Column6
0;Wishing I were there.  Where?  Anywhere! Margheritaville comes to mind!!!  
0;OMG...... Im the only 1 workin in clinic tonight and my last client canceled 
4;I LOVEEE.. YOU, M/\MMY! :Xxx.. 
4;tanoshii tanoshiiiiiiiiiiiiiiii.. thak God, dat's en/\f to be hapiii.. for da rest of mah life.. :Xxx.. 
4;wat a mild SURPRISEEEEEEEEEE!!!!!!!! mah dear bro c/\min' bak, missed u so m/\chhh 
4;Oh lord yes! mom brought... Cookies!!! Chocolate chip!! Happy day! 
4;Watching Lipstick Jungle Season 2 
4;@Heather_Poole I agree! 
0;my sister comes home today 
0;Is sleep vital? Necessary? Because I don't seem to get enough lately...but not sure I want to 
4;just sending a twitter from the club! i twittered u 
4;@StarChild54 aw, i hope you pounced! lol 
4;"that redbox vending machine is addicting as hell. just picked up defiance and he's just not that into you. also got popcorn&amp;apples @ SR. "
0;officially set TWC text alerts back to hoboken. 
4;bringing you james blunt  http://bit.ly/jDSu0
4;check out rambo's WIFI  http://bit.ly/3jk3JJ
4;@CharmedMemory such a sweet pendant  - your jewellery is hip
4;hi tweets - i must go somewhere today, but I will be back later on, tweet then, look forward to catching up again  cheers
4;@bendbeanies thank you too 
4;good morning twitterville - same old same old here - nothing new to tweet about - so I will just twitter off then 
4;@glorialynnglass hi there, great having you here, I am actualy one of your new followers 
4;hi guys, my shop is updated with new works   http://bit.ly/3WgNV
4;@FADjewellery sorry, I was on the phone - no problems, we will chat later 
4;@FADjewellery and this will eventually fix the problem? - (I am chatting to you on facebook at the same time 
4;@CharmedMemory better yet, please do convo me with the instructions for a light box - who knows, I probably made it all wrong, thank you 
4;@ZudaGay hey there, thanks so much 
4;the sale has lifted my spirits for now (sometimes slow sales get me really down) - and then one gets sold and its all good again 
4;@AmoreVivo hey thanks so much 
4;@mrgarbutt cool, I will check that out 
0;@brighit ewwww, I went last week, but it wasnt as bad as I though, hang in there, it has to be done unfortunatelly 
0;@ArtByZoe I am trying 
0;@FADjewellery hi brenda I am still here, still battling in the other sites -  not very bloody user friendly at all
0;@DalkullanJewel that is a pretty treasury! wish I made it on a treasury sometime  
0;@HelmStudios hey Jade, no sun here, and no rain either - crappy in between    - how are you liking that sicko book, it gets so grousome
0;@FADjewellery hey Breanda, you need to come back to Twitter, missing your Tweets - we will prop each other up, I know how you feel 
0;hi tweets - have a look at my new 'rearranged' shop http://bit.ly/3WgNV  - going to contune housework 
0;uhh I wish someone would include me in their follow friday - would be great to get more followers 
0;just found the house we bid on on an auctino site 
4;@portiaderossi1 welcome to twitter! 
4;@EllensShow hey ellen watching from the Philippines! we're only a day late and uv become a daily ritual for me and my son at dinner 
4;@VeronicaMartian Kurosawa just rocks 
4;@Mojopyro That's nice. Your outlook on mondays kinda sets the tone for the rest of the week. I hope you do have a good monday 
0;loves the rain. but hates it when it's pouring and cold like this before i get ready for work  can I just st... http://plurk.com/p/xvz46
4;"&quot;Happy Mother's Day!&quot; to my fellow Moms. "
0;"I'm on my way back to my car/mechanic &amp; if this doesn't go as hoped... I'll be paying for a new computer chip.  Fingers crossed. #fb"
0;"@JessicaMF So sorry.  Safe travels &amp; peace to you all."
0;@ME215 I know it's just a sprain. It's a repetitive injury for me. 
0;@kpwerker Heh. I am sitting in the parking lot of a small hotel... just to swipe the connection. I won't have one at all for the week. 
0;"that was a 1st &amp; last The trip to UNOs - No bad feelings, but it was a complete bust.  Oh well."
4;@GenePark You'll know when the captain comes on the P.A. system and asks, 'OK, who's the wiseguy with the cell phone?' 
